$p_{born}$,Effective $N$,Track 1 bias,Track 1 SE (correct),Track 1 SE (naive),SE understatement (%),Track 2 bias,Track 2 % significant
0.0,35.0,9.270793306770386e-05,0.0216752129418962,0.0216752129418962,0.0,,
0.2,28.0035,0.0002517680812066,0.0242482761885705,0.0216302432013318,10.796779807682766,0.2039512646377724,0.177
0.4,20.97,0.0004630379231298,0.0281655967775253,0.0216324610539391,23.195445760266036,0.2057301925972544,0.304
0.6,14.079,-0.0001966795799818,0.0343121596044643,0.0214321608657139,37.53770933460731,0.1977714060195292,0.3925
0.74,9.1945,0.000892451552502,0.0425130958710029,0.0210941661769255,50.381957030531545,0.2001738235871028,0.437
0.8,6.9915,-0.0019038009023472,0.0480558115885039,0.0206012311677613,57.1306144110785,0.2076886092860811,0.4775
0.9,3.49,-0.0003312233215183,0.0606389589134978,0.0191599193652084,68.40328444203612,0.2018067871850087,0.499
1.0,0.0,,,,,0.2009546785912462,0.5275
