Campaign type,threshold = 0d,threshold = 1d,threshold = 3d,threshold = 7d
1,0.7701149425287356,0.8045977011494253,0.8160919540229885,0.8505747126436781
2,0.9473684210526316,0.9473684210526316,0.9473684210526316,1.0
3,0.7,0.7,0.7,0.7
6,0.7428571428571429,0.8,0.8571428571428571,0.8571428571428571
